n,ID,BinaryLogitProbability,SUM_p(y=1),Matriculated,lift
476,1683475,0.765904886,396.4500243,1,0.922495867
477,1624658,0.765588943,397.2156133,1,0.922115329
478,1651739,0.763809727,397.979423,1,0.919972348
479,1532421,0.763745703,398.7431687,1,0.919895234
480,1679393,0.763181269,399.50635,0,0.919215401
481,1694831,0.761716448,400.2680664,1,0.917451093
482,1627380,0.759897724,401.0279641,1,0.915260528
483,1611789,0.759345675,401.7873098,1,0.914595611
484,1689469,0.759050662,402.5463605,0,0.914240282
485,1659888,0.758838343,403.3051988,1,0.913984554
486,1546184,0.75710072,404.0622995,1,0.91189167
487,1659410,0.756454468,404.818754,1,0.91111329
488,1543751,0.755486283,405.5742403,1,0.909947158
489,1536673,0.754866826,406.3291071,1,0.909201051
490,1684004,0.754866826,407.0839739,1,0.909201051
491,1668349,0.754492907,407.8384668,0,0.908750683
492,1691702,0.753473333,408.5919402,1,0.907522656
493,1664370,0.747803339,409.3397435,0,0.900693418
494,1666160,0.746774675,410.0865182,1,0.899454441
495,1456861,0.742164425,410.8286826,1,0.893901615
496,1695657,0.739925229,411.5686078,0,0.891204611
497,1675840,0.738895599,412.3075034,1,0.889964471
498,1646693,0.737719017,413.0452225,1,0.888547334
499,1685021,0.734108059,413.7793305,1,0.884198107
500,1260980,0.727062296,414.5063928,1,0.875711822
501,1661792,0.71414216,415.220535,1,0.860150135
502,1476863,0.707484924,415.9280199,0,0.852131813
503,1553681,0.707443581,416.6354635,1,0.852082017
504,1522697,0.701805085,417.3372686,0,0.845290718
505,1685622,0.699598998,418.0368676,1,0.842633591
506,1537974,0.698355505,418.7352231,1,0.841135863
507,1680889,0.696018799,419.4312419,1,0.838321412
508,1691445,0.668786703,420.1000286,0,0.805521653
509,1696071,0.668592613,420.7686212,0,0.805287881
510,1588583,0.667015177,421.4356364,0,0.803387935
511,1406769,0.661092275,422.0967286,0,0.796254082
512,1603366,0.602711545,422.6994402,0,0.72593728
513,1665906,0.579324194,423.2787644,1,0.697768333
514,1677707,0.571583506,423.8503479,1,0.688445043
